# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
      228         11    0.15745085298807E+00    0.80266490004463E+01
      228         12    0.97045878080668E+00    0.35407082787012E+01
      229         11    0.15815599150584E+00    0.81030733089681E+01
      229         12    0.97127143870092E+00    0.35624991226785E+01
      230         11   -0.68651553859870E+00    0.16796927006890E+01
      230         12    0.27588027749523E-01    0.90464689936030E+01
      231         11   -0.93566462457544E-01    0.82954439665812E+01
      231         12   -0.93564417268140E-01    0.82954439665812E+01
      232         11   -0.93566462381865E-01    0.82680312304805E+01
      232         12   -0.93564417194216E-01    0.82680312304805E+01
      233         11   -0.10749192762703E+00    0.13570866522616E+02
      233         12    0.24106591473749E+01    0.80110781262348E+01
      234         11   -0.10440174200583E+00    0.13533468186509E+02
      234         12    0.24069603088841E+01    0.77814900825345E+01
      235         11    0.51040778375949E-01    0.10520447934445E+02
      235         12    0.35772639790865E+01    0.33259871664671E+01
      236         11    0.58716023749602E-01    0.10410740050623E+02
      236         12    0.35665336614047E+01    0.37377296017880E+01
      237         11    0.78251987548820E-02    0.89307950431157E+01
      237         12    0.43953967215205E+01    0.31291228545649E+00
      238         11    0.13974711576481E-01    0.93959244034202E+01
      238         12    0.43858378999581E+01    0.27193272448409E+00
      239         11    0.23391616501362E-01    0.91695361128765E+01
      239         12    0.43243403289262E+01    0.56569925834044E+00
      240         11    0.23391616386070E-01    0.92237593400320E+01
      240         12    0.43243403290491E+01    0.55881509604750E+00
      241         11    0.76190273971591E-01    0.84826586265014E+01
      241         12    0.29043581714883E+01    0.66922653125238E+00
      242         11    0.72127840446050E-01    0.84625379900675E+01
      242         12    0.28997370279130E+01    0.59261608455622E+00
      243         11   -0.16117582911477E+01    0.11652635083899E+01
      243         12   -0.16119506347284E+00    0.13469012298240E+02
      244         11   -0.14551707453704E+01    0.68563824873735E+00
      244         12   -0.13717185278778E-01    0.95378128257041E+01
      245         11    0.13228382622424E+00    0.64435049970248E+01
      245         12    0.18277108358095E+01    0.16026658103908E+01
      246         11    0.12978619631673E+00    0.64145297674010E+01
      246         12    0.18250036127158E+01    0.16176574920724E+01
      247         11   -0.14556538253043E+01    0.68568982582570E+00
